ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands
,simple,CLO-201,,Women's Hoop Earrings (Gold),1,0,visible,,"Classic, lightweight gold-plated hoop earrings. A timeless accessory.",,,taxable,,1,,,0,0,,,,,1,,,29.50,"Accessories > Jewelry",,,https://images.pexels.com/photos/428340/pexels-photo-428340.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-202,,Men's Leather Biker Jacket,1,0,visible,,"A genuine leather biker jacket with asymmetric zip, multiple pockets, and a belted waist.",,,taxable,,1,,,0,0,,,,,1,,,249.99,"Men > Jackets",,,https://images.pexels.com/photos/1852382/pexels-photo-1852382.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-203,,Women's Faux Suede Leggings,1,0,visible,,"High-waist leggings made from a soft, stretchy faux suede fabric. Adds texture to any outfit.",,,taxable,,1,,,0,0,,,,,1,,,55.00,"Women > Pants",,,https://images.pexels.com/photos/1183266/pexels-photo-1183266.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-204,,Men's Flannel Pajama Set,1,0,visible,,"A cozy 2-piece flannel pajama set with a button-down top and matching pants.",,,taxable,,1,,,0,0,,,,,1,,,65.00,"Men > Loungewear",,,https://images.pexels.com/photos/2204560/pexels-photo-2204560.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-205,,Women's Peplum Top,1,0,visible,,"A stylish peplum top with a fitted waist and flared hem. Features short sleeves.",,,taxable,,1,,,0,0,,,,,1,,,39.00,"Women > Tops",,,https://images.pexels.com/photos/3755706/pexels-photo-3755706.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-206,,Men's Canvas Slip-On Shoes,1,0,visible,,"Casual canvas slip-on shoes with a comfortable footbed and flexible rubber sole.",,,taxable,,1,,,0,0,,,,,1,,,49.99,"Men > Shoes",,,https://images.pexels.com/photos/5082490/pexels-photo-5082490.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-207,,Women's Silk Scarf,1,0,visible,,"A beautiful square scarf made from 100% pure silk with a hand-rolled hem.",,,taxable,,1,,,0,0,,,,,1,,,45.00,"Accessories > Scarves",,,https://images.pexels.com/photos/4066291/pexels-photo-4066291.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-208,,Men's Quilted Jacket,1,0,visible,,"A lightweight quilted jacket with a stand-up collar and snap-button front.",,,taxable,,1,,,0,0,,,,,1,,,85.00,"Men > Jackets",,,https://images.pexels.com/photos/1656684/pexels-photo-1656684.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-209,,Women's Oversized Sunglasses,1,0,visible,,"Glamorous oversized sunglasses with a thick acetate frame and gradient lenses.",,,taxable,,1,,,0,0,,,,,1,,,59.00,"Accessories > Sunglasses",,,https://images.pexels.com/photos/7679883/pexels-photo-7679883.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-210,,Men's Dress Shirt (Slim Fit),1,0,visible,,"A slim-fit dress shirt in crisp white cotton. Features a spread collar and French cuffs.",,,taxable,,1,,,0,0,,,,,1,,,69.99,"Men > T-Shirts",,,https://images.pexels.com/photos/4965545/pexels-photo-4965545.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-211,,Women's Tunic Top,1,0,visible,,"A long, flowy tunic top perfect for pairing with leggings. Features a v-neck and 3/4 sleeves.",,,taxable,,1,,,0,0,,,,,1,,,42.99,"Women > Tops",,,https://images.pexels.com/photos/4619747/pexels-photo-4619747.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-212,,Men's Running T-Shirt,1,0,visible,,"A breathable, moisture-wicking running t-shirt with reflective details for visibility.",,,taxable,,1,,,0,0,,,,,1,,,34.00,"Men > Sportswear",,,https://images.pexels.com/photos/6311687/pexels-photo-6311687.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-213,,Women's Yoga Mat Bag,1,0,visible,,"A stylish and functional bag designed to carry a standard yoga mat. Features an outer pocket.",,,taxable,,1,,,0,0,,,,,1,,,30.00,"Accessories > Bags, Women > Sportswear",,,https://images.pexels.com/photos/1598507/pexels-photo-1598507.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-214,,Men's Leather Wallet,1,0,visible,,"A slim, bifold wallet made from genuine leather with RFID-blocking technology.",,,taxable,,1,,,0,0,,,,,1,,,45.00,"Accessories > Belts",,,https://images.pexels.com/photos/1755428/pexels-photo-1755428.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-215,,Women's Fleece Robe,1,0,visible,,"A plush, full-length fleece robe with a shawl collar and tie-waist. Incredibly soft and warm.",,,taxable,,1,,,0,0,,,,,1,,,62.00,"Women > Loungewear",,,https://images.pexels.com/photos/10332856/pexels-photo-10332856.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-216,,Men's Cargo Joggers,1,0,visible,,"Modern cargo pants with a slim, jogger-style fit and cuffed ankles.",,,taxable,,1,,,0,0,,,,,1,,,58.00,"Men > Pants",,,https://images.pexels.com/photos/985635/pexels-photo-985635.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-217,,Women's Denim Skirt (Knee-Length),1,0,visible,,"A classic A-line denim skirt that hits just at the knee. 5-pocket styling.",,,taxable,,1,,,0,0,,,,,1,,,49.99,"Women > Skirts",,,https://images.pexels.com/photos/322207/pexels-photo-322207.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-218,,Men's Running Shoes,1,0,visible,,"Lightweight running shoes with responsive cushioning and a breathable mesh upper.",,,taxable,,1,,,0,0,,,,,1,,,119.99,"Men > Shoes, Men > Sportswear",,,https://images.pexels.com/photos/1878821/pexels-photo-1878821.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-219,,Women's Leather Satchel,1,0,visible,,"A structured satchel bag made from real leather with a top handle and removable shoulder strap.",,,taxable,,1,,,0,0,,,,,1,,,139.00,"Accessories > Bags",,,https://images.pexels.com/photos/1124468/pexels-photo-1124468.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-220,,Men's Wool-Blend Scarf,1,0,visible,,"A sophisticated scarf in a subtle herringbone pattern. Made from a soft wool-blend.",,,taxable,,1,,,0,0,,,,,1,,,39.99,"Accessories > Scarves",,,https://images.pexels.com/photos/4034515/pexels-photo-4034515.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
